Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-11-25,29.212596821335126,30.186350048712963,25.804460525512695,25.804460525512695,1200,0.0,0
2020-11-27,25.65839868864554,25.65839868864554,21.71469688415527,21.714696884155273,5200,0.0,0
2020-11-30,22.67676309393151,22.88319865437999,18.686323165893555,18.686323165893555,65100,0.0,0
2020-12-01,21.13044257644755,21.529681190618007,16.30062633442242,17.926794052124023,8782600,0.0,0
2020-12-02,17.65414299646274,18.111808144995162,16.806978834232623,17.770994186401367,2105400,0.0,0
2020-12-03,17.907319898221953,18.63763476333426,17.556770025923033,18.257871627807617,1555600,0.0,0
2020-12-04,18.25787017219945,18.812909128268455,18.170232246789965,18.50130844116211,1390600,0.0,0
2020-12-07,18.49157481794282,18.70579987385766,17.284120957056682,17.527559280395508,1481500,0.0,0
2020-12-08,17.284119290878092,17.556770855357456,16.14482797318789,16.777767181396484,3246400,0.0,0
2020-12-09,16.99199151726062,17.2354297805034,16.50511499077506,16.836191177368164,1793400,0.0,0
2020-12-10,16.651179642194226,17.235431917887965,16.641441887582538,17.15753173828125,728800,0.0,0
2020-12-11,17.011465524966475,17.323068068598875,16.865402935402702,17.25490379333496,844500,0.0,0
2020-12-14,17.605457123976684,18.072858196765953,17.478870029912127,17.508081436157227,1038500,0.0,0
2020-12-15,17.537295868595706,17.79047193088643,16.982256825502798,17.517820358276367,964100,0.0,0
2020-12-16,17.527555156807217,17.91705601105673,17.430179478923197,17.5567684173584,542400,0.0,0
2020-12-17,17.410705567071176,18.326034051385555,17.0698934491815,18.257871627807617,670900,0.0,0
2020-12-18,18.316294445756675,18.481832539409407,17.06015397051017,17.6833553314209,1919800,0.0,0
2020-12-21,17.362018524316706,17.71257025131806,16.923828865565014,17.537294387817383,674300,0.0,0
2020-12-22,17.585980063750984,17.585980063750984,16.65117800062842,16.680389404296875,768000,0.0,0
2020-12-23,16.758289286032763,16.991991655053152,16.086401011280493,16.31036376953125,798700,0.0,0
2020-12-24,16.320101214593333,16.612226384418317,16.10587621387411,16.339576721191406,356600,0.0,0
2020-12-28,16.534326228176774,16.690126566509523,15.774800043126264,15.940338134765625,1187400,0.0,0
2020-12-29,15.969550498669026,16.55380273122854,15.950074990883492,16.475902557373047,474900,0.0,0
2020-12-30,16.631704938466815,17.819683199326274,16.56354251017059,17.6444091796875,413800,0.0,0
2020-12-31,17.59571878235729,18.87133486409761,17.4496561841451,18.462358474731445,541700,0.0,0
2021-01-04,18.62789632427543,18.74474751560482,17.517818364436284,18.316295623779297,555600,0.0,0
2021-01-05,18.160494012926172,19.465323248644424,18.043644686994522,19.056346893310547,528400,0.0,0
