,Trading code,LTP,Change %,High,Low,Close,YCP,Change,Trade,Value,Volume
0,1JANATAMF,6.3,-1.56,6.4,6.3,6.3,6.4,-0.1,75,1.6,250749
1,1STPRIMFMF,17.1,-1.72,17.4,17.0,17.1,17.4,-0.3,341,9.32,546325
2,AAMRANET,38.2,-0.26,38.5,37.9,38.2,38.3,-0.1,487,18.29,479364
3,AAMRATECH,34.4,0.58,34.8,34.0,34.4,34.2,0.2,921,54.41,1583033
4,ABB1STMF,5.3,-1.85,5.5,5.2,5.3,5.4,-0.1,237,6.97,1315811
5,ABBANK,10.0,-1.96,10.3,10.0,10.0,10.2,-0.2,276,5.3,524904
6,ACFL,27.3,-3.87,28.9,27.0,27.3,28.4,-1.1,277,6.99,249119
7,ACI,273.9,-1.4,277.0,273.6,273.9,277.8,-3.9,279,10.81,39391
8,ACIFORMULA,155.5,-1.77,159.0,155.0,155.5,158.3,-2.8,466,30.28,193576
9,ACMELAB,87.1,-1.36,89.0,87.0,87.1,88.3,-1.2,480,28.3,323745
10,ACMEPL,43.0,-2.05,45.7,42.3,43.0,43.9,-0.9,2477,92.36,2090257
11,ACTIVEFINE,19.6,-1.5,20.3,19.5,19.7,20.0,-0.3,579,21.43,1076615
12,ADNTEL,59.4,-1.49,61.7,59.1,59.4,60.3,-0.9,201,5.94,98830
13,ADVENT,23.3,-2.92,24.0,23.1,23.3,24.0,-0.7,290,9.41,400031
14,AFCAGRO,23.9,-3.63,25.0,23.7,23.9,24.8,-0.9,217,6.07,253065
15,AFTABAUTO,25.8,-1.15,26.0,25.7,25.8,26.1,-0.3,55,0.83,32036
16,AGNISYSL,23.0,-2.54,23.6,22.8,23.0,23.6,-0.6,586,24.72,1065347
17,AGRANINS,38.7,-0.51,39.2,38.7,38.7,38.9,-0.2,121,1.84,47336
18,AIBL1STIMF,7.3,0.0,7.4,7.3,7.3,7.3,0.0,30,0.59,80306
19,AIL,56.0,2.38,57.8,54.2,56.0,54.7,1.3,1625,82.27,1459480
20,ALARABANK,23.8,0.0,23.8,23.6,23.8,23.8,0.0,52,1.35,56764
21,AL-HAJTEX,133.3,-0.37,134.9,132.2,133.3,133.8,-0.5,439,33.45,250953
22,ALIF,13.6,-2.86,14.0,13.6,13.6,14.0,-0.4,887,38.45,2801025
23,ALLTEX,24.6,-0.4,24.9,24.6,24.6,24.7,-0.1,378,15.88,644902
24,AMANFEED,37.6,4.44,38.5,36.2,37.6,36.0,1.6,2350,89.89,2387621
25,AMBEEPHA,513.1,-1.69,546.0,510.0,513.1,521.9,-8.8,199,3.39,6616
26,AMCL(PRAN),270.2,-1.49,274.9,268.0,270.2,274.3,-4.1,276,7.32,27050
27,ANLIMAYARN,37.3,-0.53,37.6,37.1,37.3,37.5,-0.2,249,6.41,172311
28,ANWARGALV,383.9,-0.03,389.9,383.9,383.9,384.0,-0.1,165,8.09,21062
29,AOL,36.9,-1.08,37.4,36.8,36.8,37.2,-0.4,120,3.55,96012
30,APEXFOODS,170.4,-1.39,174.7,170.4,170.4,172.8,-2.4,220,5.71,33493
31,APEXFOOT,264.5,-2.18,269.6,263.0,264.5,270.4,-5.9,186,5.15,19363
32,APEXSPINN,140.0,3.17,143.9,135.7,140.0,135.7,4.3,578,15.59,112135
33,APEXTANRY,128.7,0.0,128.7,128.7,128.7,128.7,0.0,29,0.93,7222
34,APOLOISPAT,8.2,-1.2,8.3,8.2,8.2,8.3,-0.1,300,8.93,1087660
35,APSCLBOND,5500.0,0.0,5500.0,5500.0,5500.0,5500.0,0.0,1,0.03,5
36,ARAMIT,274.4,-1.22,286.8,273.9,274.4,277.8,-3.4,111,3.0,10898
37,ARAMITCEM,31.4,0.0,31.8,31.4,31.4,31.4,0.0,99,2.44,77753
38,ARGONDENIM,20.0,-4.76,20.9,19.8,20.0,21.0,-1.0,312,7.52,368607
39,ASIAINS,50.3,-2.33,52.7,50.0,50.3,51.5,-1.2,554,13.17,258587
40,ASIAPACINS,44.8,0.22,45.2,44.3,44.7,44.6,0.1,35,0.44,9802
41,ATCSLGF,9.7,-1.02,10.0,9.7,9.7,9.8,-0.1,58,1.29,132417
42,ATLASBANG,104.2,0.0,104.2,104.2,104.2,104.2,0.0,21,0.55,5314
43,AZIZPIPES,97.5,-0.51,98.2,96.0,97.5,98.0,-0.5,98,1.53,15720
44,BANGAS,127.7,-0.08,128.9,127.7,127.7,127.8,-0.1,154,5.35,41917
45,BANKASIA,20.2,0.0,20.2,20.2,20.2,20.2,0.0,9,0.05,2648
46,BARKAPOWER,21.5,-1.83,22.1,21.4,21.5,21.9,-0.4,313,8.19,377423
47,BATASHOE,954.4,-0.26,960.0,950.0,954.4,956.9,-2.5,263,7.2,7530
48,BATBC,520.0,-0.61,523.0,519.7,520.0,523.2,-3.2,1685,83.91,161187
49,BAYLEASING,25.2,-4.55,26.8,25.1,25.2,26.4,-1.2,642,27.71,1072491
50,BBS,22.7,-2.99,23.4,22.4,22.7,23.4,-0.7,740,28.46,1240774
51,BBSCABLES,52.6,-1.31,54.3,52.5,52.6,53.3,-0.7,451,20.91,396566
52,BDAUTOCA,136.2,-0.22,137.0,136.2,136.2,136.5,-0.3,198,6.91,50762
53,BDCOM,30.4,-1.94,31.4,30.3,30.4,31.0,-0.6,977,42.96,1400850
54,BDFINANCE,44.1,-0.23,44.6,44.1,44.1,44.2,-0.1,57,1.93,43785
55,BDLAMPS,254.3,-1.51,258.2,253.4,254.3,258.2,-3.9,243,6.53,25591
56,BDTHAI,18.1,1.69,18.9,17.8,18.1,17.8,0.3,1783,56.49,3064103
57,BDTHAIFOOD,38.3,-6.81,41.3,38.0,38.3,41.1,-2.8,1327,42.92,1079069
58,BDWELDING,22.1,0.0,22.1,22.1,22.1,22.1,0.0,11,0.05,2409
59,BEACHHATCH,41.7,0.0,41.8,41.7,41.7,41.7,0.0,36,1.89,45334
60,BEACONPHAR,245.2,-0.73,250.9,245.0,245.2,247.0,-1.8,99,2.41,9792
61,BENGALWTL,23.2,-3.33,25.0,23.1,23.2,24.0,-0.8,207,7.17,305807
62,BERGERPBL,1785.0,0.99,1803.0,1767.5,1785.0,1767.5,17.5,169,19.91,11125
63,BEXGSUKUK,88.5,-0.56,92.0,88.5,88.5,89.0,-0.5,34,3.63,40971
64,BEXIMCO,118.6,-3.34,122.7,116.7,118.6,122.7,-4.1,4335,665.87,5548648
65,BGIC,38.7,-1.02,39.1,38.7,38.7,39.1,-0.4,35,0.33,8546
66,BIFC,11.5,-5.74,12.5,11.3,11.5,12.2,-0.7,251,4.82,418460
67,BNICL,56.7,-0.7,57.9,56.7,56.7,57.1,-0.4,455,16.24,285925
68,BPML,50.3,-2.14,51.4,50.0,50.3,51.4,-1.1,228,5.69,112755
69,BPPL,29.7,-2.94,30.7,29.6,29.7,30.6,-0.9,335,7.84,262022
70,BRACBANK,39.5,0.77,39.8,38.8,39.5,39.2,0.3,338,52.75,1344274
71,BSC,108.6,-3.04,112.0,108.2,108.6,112.0,-3.4,1171,44.74,408314
72,BSCCL,219.1,-1.17,222.7,218.9,219.1,221.7,-2.6,435,25.54,116181
73,BSRMLTD,90.3,-1.63,92.3,90.2,90.3,91.8,-1.5,119,2.45,26979
74,BSRMSTEEL,64.5,-1.82,66.0,64.5,64.9,66.1,-1.2,122,2.1,32141
75,BXPHARMA,150.9,-3.15,156.9,150.2,150.9,155.8,-4.9,906,90.04,587927
76,BXSYNTH,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0,0.0,0
77,CAPMBDBLMF,10.1,0.0,10.4,10.1,10.1,10.1,0.0,82,2.98,294538
78,CAPMIBBLMF,14.2,0.0,14.2,14.2,14.2,14.2,0.0,97,3.78,266160
79,CENTRALINS,37.4,-0.53,38.4,37.3,37.4,37.6,-0.2,56,1.01,27031
80,CENTRALPHL,12.5,-1.57,12.8,12.5,12.5,12.7,-0.2,212,3.01,239424
81,CITYBANK,21.9,0.0,22.1,21.8,21.9,21.9,0.0,332,17.99,823053
82,CITYGENINS,28.3,-3.08,29.8,28.1,28.3,29.2,-0.9,137,2.14,75034
83,CNATEX,10.2,-1.92,10.4,10.2,10.2,10.4,-0.2,160,17.23,1681863
84,CONFIDCEM,94.5,-0.42,94.5,93.5,93.9,94.3,-0.4,219,5.21,55547
85,CONTININS,32.4,-3.26,34.4,32.3,32.6,33.7,-1.1,81,2.07,63423
86,COPPERTECH,43.0,-4.23,46.4,42.5,43.0,44.9,-1.9,2263,154.59,3440043
87,CROWNCEMNT,74.4,0.0,74.4,74.4,74.4,74.4,0.0,1,0.0,1
88,CRYSTALINS,36.6,-1.61,38.0,36.5,36.6,37.2,-0.6,46,1.27,34578
89,CVOPRL,164.0,-1.86,168.1,163.7,164.0,167.1,-3.1,657,22.07,134116
90,DACCADYE,18.3,-3.17,18.9,18.2,18.3,18.9,-0.6,420,11.51,619559
91,DAFODILCOM,65.8,-0.15,70.0,65.8,65.8,65.9,-0.1,56,0.21,3134
92,DBH,59.0,-1.01,60.3,58.6,59.0,59.6,-0.6,113,3.24,54856
93,DBH1STMF,7.2,-1.37,7.3,7.1,7.2,7.3,-0.1,38,0.18,25836
94,DELTALIFE,141.4,-0.77,147.0,140.5,141.4,142.5,-1.1,2310,122.85,853163
95,DELTASPINN,8.6,-3.37,8.9,8.6,8.6,8.9,-0.3,318,8.62,991695
96,DESCO,37.1,1.89,38.0,37.0,37.7,37.0,0.7,73,0.92,24467
97,DESHBANDHU,19.6,-3.92,20.3,19.5,19.6,20.4,-0.8,472,11.09,557865
98,DGIC,29.6,-1.67,31.0,29.2,29.4,29.9,-0.5,35,0.63,21495
99,DHAKABANK,14.0,0.0,14.1,13.5,14.0,14.0,0.0,136,9.54,681418
