,Trading code,LTP,Change %,High,Low,Close,YCP,Change,Trade,Value,Volume
157,HWAWELLTEX,54.2,-4.75,57.6,53.6,54.2,56.9,-2.7,367,12.01,217017
158,IBNSINA,299.2,-1.03,306.0,299.0,299.2,302.3,-3.1,329,11.82,39181
159,IBP,17.9,-1.65,18.4,17.8,17.9,18.2,-0.3,400,21.58,1194623
160,ICB,95.3,-0.83,97.5,95.1,95.3,96.1,-0.8,111,1.11,11644
161,ICB3RDNRB,6.7,0.0,6.8,6.7,6.7,6.7,0.0,30,0.79,118140
162,ICBAGRANI1,9.2,0.0,9.2,9.2,9.2,9.2,0.0,13,0.5,54737
163,ICBAMCL2ND,8.9,0.0,9.1,8.8,8.9,8.9,0.0,96,2.6,288936
164,ICBEPMF1S1,7.1,0.0,7.2,7.1,7.1,7.1,0.0,8,0.18,25218
165,ICBIBANK,5.4,-3.57,5.7,5.4,5.4,5.6,-0.2,324,13.71,2527567
166,ICBSONALI1,8.0,-1.23,8.1,8.0,8.0,8.1,-0.1,20,0.1,12887
167,IDLC,46.9,-1.47,47.8,46.8,46.9,47.6,-0.7,166,3.27,69240
168,IFADAUTOS,47.1,-1.88,49.0,46.6,47.1,48.0,-0.9,146,4.51,94896
169,IFIC,11.9,-2.46,12.1,11.8,11.9,12.2,-0.3,727,24.68,2062267
170,IFIC1STMF,5.2,-3.7,5.4,5.2,5.2,5.4,-0.2,148,6.96,1313967
171,IFILISLMF1,6.6,0.0,6.6,6.4,6.6,6.6,0.0,17,0.07,11332
172,ILFSL,6.3,-5.97,6.8,6.2,6.3,6.7,-0.4,339,8.04,1239025
173,IMAMBUTTON,126.6,0.0,126.6,126.6,126.6,126.6,0.0,5,0.13,1034
174,INDEXAGRO,105.7,-0.93,108.7,105.5,106.4,107.4,-1.0,415,12.18,114716
175,INTECH,30.4,0.0,30.5,30.4,30.4,30.4,0.0,65,1.47,48418
176,INTRACO,36.7,-4.68,38.7,36.0,36.7,38.5,-1.8,2824,258.83,6960351
177,IPDC,57.6,0.0,58.0,57.6,57.6,57.6,0.0,169,31.45,545669
178,ISLAMIBANK,32.6,0.0,32.6,32.6,32.6,32.6,0.0,72,6.13,187888
179,ISLAMICFIN,20.8,-2.8,21.8,20.6,20.8,21.4,-0.6,254,5.74,273432
180,ISLAMIINS,40.9,-1.92,41.7,40.8,40.9,41.7,-0.8,103,2.72,66293
181,ISNLTD,54.2,0.0,54.2,54.2,54.2,54.2,0.0,21,1.1,20261
182,ITC,33.6,0.0,34.0,33.3,33.6,33.6,0.0,136,2.4,71426
183,JAMUNABANK,21.8,-0.91,22.2,21.7,21.8,22.0,-0.2,56,3.86,176699
184,JAMUNAOIL,170.0,-1.73,179.5,169.1,170.8,173.8,-3.0,91,2.98,17388
185,JANATAINS,30.0,-2.91,31.5,29.8,30.0,30.9,-0.9,118,1.55,51187
186,JHRML,71.8,-1.37,74.0,71.3,71.8,72.8,-1.0,1619,55.61,766909
187,JMISMDL,312.9,-2.25,321.4,310.2,312.9,320.1,-7.2,320,6.82,21595
188,JUTESPINN,190.8,9.4,191.8,173.6,190.8,174.4,16.4,453,8.92,47969
189,KARNAPHULI,30.0,-0.99,31.6,29.8,30.0,30.3,-0.3,109,1.84,61276
190,KAY&QUE,247.6,-0.25,248.6,242.3,243.6,244.2,-0.6,301,6.56,27003
191,KBPPWBIL,13.9,0.0,14.0,13.8,13.9,13.9,0.0,412,13.45,967642
192,KDSALTD,81.1,-1.82,82.5,79.1,81.1,82.6,-1.5,1413,98.95,1225205
193,KEYACOSMET,6.5,-1.52,6.6,6.4,6.5,6.6,-0.1,409,12.12,1858722
194,KOHINOOR,395.9,-2.97,406.0,395.4,395.9,408.0,-12.1,198,3.75,9415
195,KPCL,26.6,0.0,26.8,26.6,26.6,26.6,0.0,180,4.4,165475
196,KPPL,9.7,-1.02,10.0,9.4,9.7,9.8,-0.1,237,4.13,429256
197,KTL,24.3,-5.08,25.4,24.1,24.3,25.6,-1.3,1466,62.63,2530905
198,LANKABAFIN,26.2,-2.24,26.7,26.1,26.2,26.8,-0.6,567,21.05,799729
199,LEGACYFOOT,58.7,-1.01,59.8,58.7,58.7,59.3,-0.6,119,2.87,48766
200,LHBL,69.9,-3.19,72.3,69.0,69.9,72.2,-2.3,1510,124.58,1761390
201,LIBRAINFU,883.6,-0.08,895.0,883.6,883.7,884.4,-0.7,72,1.89,2134
202,LINDEBD,1398.5,0.01,1413.9,1397.7,1398.5,1398.4,0.1,321,17.58,12516
203,LOVELLO,40.3,-1.95,41.4,40.1,40.3,41.1,-0.8,719,30.86,753666
204,LRBDL,35.4,-3.01,36.5,35.3,35.4,36.5,-1.1,552,18.32,512789
205,LRGLOBMF1,6.4,0.0,6.5,6.4,6.4,6.4,0.0,65,1.62,253455
206,MAKSONSPIN,24.3,-5.81,26.0,24.1,24.3,25.8,-1.5,2126,98.68,3947138
207,MALEKSPIN,35.4,-4.07,37.7,34.6,35.4,36.9,-1.5,2922,264.24,7220188
208,MARICO,2473.0,0.38,2505.0,2465.0,2473.0,2463.6,9.4,150,19.87,7975
209,MATINSPINN,78.2,-0.76,80.4,78.0,78.2,78.8,-0.6,1177,68.75,875318
210,MBL1STMF,6.6,0.0,6.6,6.6,6.6,6.6,0.0,13,0.08,11300
211,MEGCONMILK,42.0,0.0,42.0,42.0,42.0,42.0,0.0,3,0.01,141
212,MEGHNACEM,69.3,-2.94,70.0,69.3,69.4,71.5,-2.1,33,0.31,4500
213,MEGHNAINS,44.8,0.0,44.8,44.8,44.8,44.8,0.0,42,0.38,8525
214,MEGHNALIFE,63.1,-1.71,65.4,62.5,63.1,64.2,-1.1,92,1.55,24624
215,MEGHNAPET,40.7,0.0,40.7,40.7,40.7,40.7,0.0,1,0.0,1
216,MERCANBANK,13.9,-3.47,14.5,13.8,13.9,14.4,-0.5,256,18.59,1320815
217,MERCINS,32.8,-1.82,34.4,32.3,32.4,33.0,-0.6,58,1.42,43443
218,METROSPIN,25.6,-4.83,26.7,25.4,25.6,26.9,-1.3,647,22.39,864246
219,MHSML,29.4,-7.55,31.9,28.9,29.4,31.8,-2.4,663,24.88,816989
220,MIDASFIN,13.8,-2.82,14.2,13.7,13.8,14.2,-0.4,91,1.48,106101
221,MIRACLEIND,34.0,0.0,34.0,34.0,34.0,34.0,0.0,16,0.46,13390
222,MIRAKHTER,51.0,-2.11,52.1,50.9,51.0,52.1,-1.1,148,3.1,60389
223,MITHUNKNIT,18.8,0.0,18.8,18.8,18.8,18.8,0.0,9,0.17,8900
224,MJLBD,86.8,-1.47,88.5,86.7,87.1,88.4,-1.3,227,3.94,45256
225,MLDYEING,24.8,0.0,24.8,24.8,24.8,24.8,0.0,20,0.51,20426
226,MONNOAGML,469.5,-0.49,470.9,469.2,469.5,471.8,-2.3,156,3.39,7219
227,MONNOCERA,97.9,-0.2,98.5,97.9,97.9,98.1,-0.2,164,3.69,37676
228,MONNOFABR,24.1,-0.41,24.3,24.1,24.1,24.2,-0.1,580,25.18,1042530
229,MONOSPOOL,145.8,-3.44,150.0,145.4,145.8,151.0,-5.2,393,6.55,44482
230,MPETROLEUM,199.5,-2.06,204.1,198.7,199.9,204.1,-4.2,146,8.35,41587
231,MTB,17.0,0.59,17.4,16.9,17.0,16.9,0.1,21,0.45,26638
232,NAHEEACP,66.1,-0.3,67.0,65.6,66.1,66.3,-0.2,222,11.66,176860
233,NATLIFEINS,179.0,0.0,179.0,179.0,179.0,179.0,0.0,1,0.0,1
234,NAVANACNG,27.0,-3.55,28.2,27.0,27.2,28.2,-1.0,75,1.07,39050
235,NBL,8.3,0.0,8.3,8.3,8.3,8.3,0.0,20,0.75,89883
236,NCCBANK,13.9,0.0,14.0,13.8,13.9,13.9,0.0,191,9.69,696374
237,NCCBLMF1,7.0,0.0,7.0,6.9,6.9,6.9,0.0,11,0.4,57245
238,NEWLINE,0.0,0.0,0.0,0.0,0.0,45.1,0.0,0,0.0,0
239,NFML,17.1,-1.72,17.5,17.0,17.1,17.4,-0.3,211,4.13,239744
240,NHFIL,43.3,-3.35,44.7,43.2,43.3,44.8,-1.5,423,12.93,295657
241,NITOLINS,42.9,0.0,42.9,42.9,42.9,42.9,0.0,33,1.28,29751
242,NLI1STMF,0.0,0.0,0.0,0.0,0.0,14.4,0.0,0,0.0,0
243,NORTHERN,227.0,-0.39,227.5,227.0,227.0,227.9,-0.9,80,0.85,3739
244,NORTHRNINS,41.2,0.0,41.2,41.2,41.2,41.2,0.0,39,0.48,11618
245,NPOLYMER,52.2,-1.32,53.0,52.1,52.2,52.9,-0.7,270,14.69,279541
246,NRBCBANK,17.6,-1.12,17.8,17.6,17.6,17.8,-0.2,389,16.48,933670
247,NTC,610.0,-0.99,616.1,600.2,610.0,616.1,-6.1,322,5.89,9649
248,NTLTUBES,79.5,-0.13,79.9,79.5,79.5,79.6,-0.1,221,3.82,48066
249,NURANI,7.2,-2.7,7.4,7.1,7.2,7.4,-0.2,225,4.24,586521
250,OAL,11.2,-1.74,11.6,11.2,11.3,11.5,-0.2,264,6.49,575135
251,OIMEX,18.9,-1.56,19.4,18.9,18.9,19.2,-0.3,171,4.87,254827
252,OLYMPIC,129.1,-2.86,135.8,128.1,129.1,132.9,-3.8,3014,145.07,1100148
253,ONEBANKLTD,10.2,-1.92,10.4,10.2,10.2,10.4,-0.2,124,4.25,413797
254,ORIONINFU,133.7,-0.15,135.7,132.6,133.7,133.9,-0.2,1752,115.56,862063
255,ORIONPHARM,84.6,-5.47,89.8,83.6,84.6,89.5,-4.9,1918,100.2,1160517
256,PADMALIFE,47.1,0.0,47.5,46.3,47.1,47.1,0.0,183,5.17,109733
257,PADMAOIL,209.6,-1.59,213.0,209.2,210.3,213.7,-3.4,99,2.38,11334
258,PAPERPROC,175.5,-3.89,182.0,174.3,175.5,182.6,-7.1,1120,31.67,177818
259,PARAMOUNT,47.2,-2.48,50.4,47.0,47.1,48.3,-1.2,127,2.19,46348
260,PDL,12.2,-5.43,12.8,12.1,12.2,12.9,-0.7,967,29.71,2409210
261,PENINSULA,30.8,-4.05,32.2,30.7,30.8,32.1,-1.3,876,39.63,1263700
262,PEOPLESINS,37.9,-0.26,38.2,37.9,37.9,38.0,-0.1,150,4.51,118935
263,PF1STMF,10.6,0.0,10.7,10.6,10.6,10.6,0.0,50,1.1,103558
264,PHARMAID,795.9,-0.21,820.0,795.0,795.9,797.6,-1.7,453,16.53,20672
265,PHENIXINS,39.1,-0.51,40.0,39.1,39.1,39.3,-0.2,41,0.86,21803
