Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-06-26,60.21224261455149,60.98083429916979,60.12778291041993,60.702117919921875,2026000,0.0,0
2017-06-27,60.38962217883939,60.48252980539285,59.65480907169755,59.73082733154297,3003600,0.0,0
2017-06-28,59.89129116267133,60.034873299289735,59.22404856773254,59.249385833740234,2553900,0.0,0
2017-06-29,58.97067394725103,58.97067394725103,58.43857193090386,58.78485870361328,3112100,0.0,0
2017-06-30,58.928443248043266,59.21561402995936,58.67506408691406,58.67506408691406,2130200,0.0,0
2017-07-03,58.86087440700689,58.86087440700689,58.21896898696719,58.27809143066406,1592000,0.0,0
2017-07-05,58.32031596806354,58.36254259659819,57.95713345458243,58.12605285644531,2735700,0.0,0
2017-07-06,58.01626649054075,58.40478634090668,57.83045124822154,58.29498291015625,2147800,0.0,0
2017-07-07,58.286532653017645,58.62437791135242,58.13450260896012,58.40477752685547,1747500,0.0,0
2017-07-10,58.615925869731555,58.675048302476604,58.18517303466796,58.18517303466797,1567600,0.0,0
2017-07-11,58.27808501743766,58.32031809137206,57.99936219474034,58.1429443359375,1813100,0.0,0
2017-07-12,58.61593506797044,58.72573204776619,58.252752511584006,58.2696418762207,2287800,0.0,0
2017-07-13,58.19362815192926,58.362547568181455,57.66996765136719,57.66996765136719,3489100,0.0,0
2017-07-14,58.05848043636346,58.185173205148885,57.52637854009895,57.57705307006836,4900500,0.0,0
2017-07-17,57.6361730100145,57.99935549476409,57.53482395445939,57.898006439208984,2885100,0.0,0
2017-07-18,57.9655715784174,58.12604951165613,57.72063394910736,57.73752975463867,2721400,0.0,0
2017-07-19,57.8135418145837,58.08381670957549,57.79665245283625,57.98246765136719,2981300,0.0,0
2017-07-20,58.08382642128633,58.134507402726214,57.77977275196137,58.02470397949219,3771000,0.0,0
2017-07-21,58.0584835134957,59.11424590289374,58.00780898084051,59.105804443359375,2922300,0.0,0
2017-07-24,59.12270015499171,59.12270015499171,58.193630441328715,58.438568115234375,4129500,0.0,0
2017-07-25,58.46390023256921,58.539912033016286,58.03314736511538,58.1429443359375,1614100,0.0,0
2017-07-26,58.01627353007709,58.70885359848053,57.9318073596007,58.658172607421875,1962900,0.0,0
2017-07-27,58.59059805439006,59.79839061285781,58.58215015010345,59.6885871887207,4203300,0.0,0
2017-07-28,59.646359765426446,59.80683128157014,59.148036520920165,59.48588180541992,2570900,0.0,0
2017-07-31,59.50275907883218,59.71391153325509,59.14802450192845,59.57877731323242,2268900,0.0,0
2017-08-01,59.62101096493144,59.823721984649936,59.43520219598292,59.64635467529297,1629000,0.0,0
