Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,cum_return
2017-06-26,156.25,156.5,153.19540405273438,153.58999633789062,18049651,0,0,,
2017-06-27,152.83999633789062,153.30999755859375,150.38999938964844,150.5800018310547,19360766,0,0,-0.019597594756198156,0.9804024052438018
2017-06-28,150.9199981689453,153.47000122070312,149.86000061035156,153.24000549316406,16719104,0,0,0.017665052661467007,0.9977212653618626
2017-06-29,152.27999877929688,152.5,148.91749572753906,151.0399932861328,23973482,0,0,-0.014356644010492414,0.9833973363333642
2017-06-30,151.89999389648438,151.9199981689453,150.05999755859375,150.97999572753906,17666022,0,0,-0.0003972296163976541,0.983006701786686
2017-07-03,151.72000122070312,152.14999389648438,147.8000030517578,148.42999267578125,13862735,0,0,-0.01688967494978333,0.9664040381200503
2017-07-05,149.0,150.85000610351562,148.1300048828125,150.33999633789062,14334290,0,0,0.012868043901891335,0.9788397677095442
2017-07-06,149.02999877929688,150.0399932861328,148.0,148.82000732421875,14951802,0,0,-0.010110343559246115,0.968943361368548
2017-07-07,149.25,151.99000549316406,149.19000244140625,151.44000244140625,13615931,0,0,0.017605126920062553,0.9860017322237933
2017-07-10,151.69000244140625,153.97999572753906,151.50999450683594,153.5,13378672,0,0,0.013602730621922632,0.9994140481799826
2017-07-11,153.3699951171875,155.42250061035156,152.91000366210938,155.27000427246094,13667744,0,0,0.011530972459028899,1.0109382640447127
2017-07-12,156.49000549316406,159.16000366210938,156.1999969482422,158.89999389648438,22739388,0,0,0.023378563303532163,1.0345725482466448
2017-07-13,158.74000549316406,159.77999877929688,158.42269897460938,159.25999450683594,13929236,0,0,0.0022655797619859364,1.0369164548742587
2017-07-14,160.1300048828125,160.32000732421875,159.3253936767578,159.97000122070312,16371207,0,0,0.004458161109861747,1.0415391954875548
2017-07-17,160.25,160.77999877929688,158.80999755859375,159.72999572753906,12858836,0,0,-0.0015003156300095188,1.0399765579532974
2017-07-18,159.66000366210938,163.72999572753906,159.4199981689453,162.86000061035156,23722910,0,0,0.019595598613497245,1.0603555211503966
2017-07-19,163.58999633789062,165.6999969482422,163.1699981689453,164.13999938964844,26273642,0,0,0.007859503711775906,1.0686893893046803
2017-07-20,164.8000030517578,165.0,162.80999755859375,164.52999877929688,18523107,0,0,0.0023760167606838856,1.0712286132056332
