Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-06-26,88.38500942154914,88.86277016976864,87.86131472305114,88.19207000732422,1171100,0.0,0
2017-06-27,88.12775675315505,88.84439086493393,87.37437127543801,87.76943969726562,1253100,0.0,0
2017-06-28,88.35743750002746,89.22107697749234,88.2655626004176,88.55037689208984,897600,0.0,0
2017-06-29,88.82601905828689,89.90097023045122,87.64081378784685,87.98075866699219,1053300,0.0,0
2017-06-30,87.22736607536889,87.49380820061012,85.76652918312985,86.85066986083984,1236100,0.0,0
2017-07-03,87.15388720649192,87.61326885653263,86.73125692960738,87.00688171386719,527400,0.0,0
2017-07-05,87.1998200460155,87.90726463689832,86.59343295988134,87.48463439941406,908900,0.0,0
2017-07-06,86.99767764471397,87.45705918131573,84.7467039096018,84.9947738647461,951100,0.0,0
2017-07-07,85.48174028129465,86.60263265516394,85.20610848097641,86.28106689453125,1158700,0.0,0
2017-07-10,86.04216318253893,86.85986175668504,84.7834552491561,84.97639465332031,1255300,0.0,0
2017-07-11,85.12341683552938,85.12341683552938,83.74527195533067,84.69159698486328,911500,0.0,0
2017-07-12,85.29797165933236,86.08810856780224,85.08666004986186,85.6379165649414,655100,0.0,0
2017-07-13,85.95028633452168,86.1707875043533,84.82020469612371,85.31633758544922,788800,0.0,0
2017-07-14,85.50010093102807,85.83085624295369,85.01315755780615,85.4082260131836,859000,0.0,0
2017-07-17,85.49092625190805,85.7849302219631,85.03154461059657,85.17854309082031,1017700,0.0,0
2017-07-18,85.15097286241028,85.15097286241028,83.5798886462124,83.94739532470703,1299300,0.0,0
2017-07-19,84.12194312955641,84.22300762644315,82.96430672639055,83.76362609863281,1331600,0.0,0
2017-07-20,83.79120557778778,84.84778471697761,83.25832822020615,84.48027801513672,1136400,0.0,0
2017-07-21,84.36083571037152,84.59971610213567,84.0117082221061,84.17708587646484,604400,0.0,0
2017-07-24,84.19545976175012,86.0513653659983,83.91982799569917,85.56441497802734,1273700,0.0,0
2017-07-25,85.81246845305338,87.38355239410025,85.0774552247903,86.96092224121094,1413500,0.0,0
2017-07-26,86.61180231996936,87.03443955330009,85.82167243012502,86.55667877197266,1366100,0.0,0
2017-07-27,85.89516462092351,86.06054226771113,84.39758321528474,85.24284362792969,1493300,0.0,0
2017-07-28,85.44497263745332,86.5199238367157,84.87533696307861,86.33617401123047,869200,0.0,0
2017-07-31,86.63936601531186,86.74961310483053,85.67466192438508,86.19835662841797,1062100,0.0,0
2017-08-01,86.46480511477351,86.51992866357305,85.13260128166688,85.42660522460938,1256100,0.0,0
2017-08-02,84.70077429486295,84.70077429486295,81.85260301453937,83.85550689697266,2300500,0.0,0
2017-08-03,77.27716102726426,78.39805307460222,73.96961543501844,75.07212829589844,7434700,0.0,0
