Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-06-26,114.93231622889171,119.29756667807216,114.93231622889171,116.58843231201172,1544400,0.0,0
2017-06-27,116.20551951040667,118.0339482849201,116.10979189945094,116.75117492675781,1652600,0.0,0
2017-06-28,114.63555976752409,115.44925539075928,111.6488101948256,111.72539520263672,2106100,0.0,0
2017-06-29,111.2850450032365,113.19962642264701,110.68195448539964,111.09358978271484,2184100,0.0,0
2017-06-30,111.47649167498787,112.78798247598756,111.07443136059601,111.61051177978516,994900,0.0,0
2017-07-03,112.43379293709714,113.65913120233684,111.30418958737282,113.35279846191406,914800,0.0,0
2017-07-05,105.42642916791581,106.9293753746533,94.8962307681235,100.71656036376953,7348700,0.0,0
2017-07-06,100.01774340413964,101.31008448991989,97.88298176193155,98.75411987304688,2718300,0.0,0
2017-07-07,98.31375554974956,98.76368336370635,96.61935416259074,97.57664489746094,2118500,0.0,0
2017-07-10,97.58620075840773,98.0169785834041,95.25040948515425,96.84908294677734,1909300,0.0,0
2017-07-11,96.82994679999804,97.57663230829293,95.12597068034093,95.9683837890625,1432900,0.0,0
2017-07-12,96.7150741624425,98.05528254647604,96.20771128146616,96.62892150878906,1997100,0.0,0
2017-07-13,96.3895871604498,99.35718638453801,96.3895871604498,98.81153106689453,2222300,0.0,0
2017-07-14,99.23275164364554,99.25189424296074,97.28944550171921,97.68193817138672,1205400,0.0,0
2017-07-17,97.46175492378154,98.59135813870002,97.27987467381475,97.39474487304688,1646800,0.0,0
2017-07-18,97.43305984178905,97.64366499367665,95.7099407240303,96.01627349853516,2218300,0.0,0
2017-07-19,96.17899480781452,97.55749571009889,95.68119956930151,96.5619125366211,1413700,0.0,0
2017-07-20,96.3991621909269,99.69224424987421,95.54717412625354,98.82111358642578,1714500,0.0,0
2017-07-21,98.95513287290979,100.95586673984101,98.94555792182726,100.77397918701172,1216400,0.0,0
2017-07-24,100.62082579460804,100.70697845167646,98.71581935165044,98.76367950439453,1413700,0.0,0
2017-07-25,99.16573805817849,101.4345195995748,99.05086785082311,100.79313659667969,1249100,0.0,0
2017-07-26,101.2143631030521,102.8896220627287,100.6878502228768,102.14292907714844,1700200,0.0,0
2017-07-27,103.43525982818578,105.81891155179801,102.65984941897355,105.62744903564453,2247300,0.0,0
2017-07-28,105.20624820492557,106.44115407043272,104.58400779622919,105.50300598144531,1033100,0.0,0
2017-07-31,106.8432175064046,108.07812340773442,105.8284916835415,107.22613525390625,1977700,0.0,0
2017-08-01,107.21655960540413,109.22686863729575,106.08695627456238,109.17900848388672,1513100,0.0,0
2017-08-02,108.82480176294625,109.97354762552565,108.61419665064548,109.59063720703125,1775200,0.0,0
2017-08-03,109.38959876783125,110.47134187072693,105.73274879683395,105.80933380126953,1812700,0.0,0
2017-08-04,106.38371481633172,107.0729653015632,105.58916907143018,106.26884460449219,944000,0.0,0
2017-08-07,106.12524976530331,106.42200755126099,103.5788529453161,104.81375885009766,1435300,0.0,0
